permaculture_blog_metadata
Title;URL;Language;Country;DomainAuthority;AuthorType;ActiveSince;PostsCollected;Notes;Monthly visits
Permaculture Apprentice Blog;permacultureapprentice.com;EN;UK;28 -good;Organization;2008;30;Policy + stories;19.7K
Permaculture Association Blog;https://blog.permaculture.org.uk;EN;UK;50;Organization;2000;30;News + insights;
Milkwood Blog;https://www.milkwood.net/blog;EN;Australia/Intl;;Organization;2005;50;Stories + skills;
Deep Green Permaculture Blog;https://deepgreenpermaculture.com/blog;EN;UK;44.0;Organization;2009;40;DIY + narrative;
Permaculture Principles Blog;permacultureprinciples.com;EN;Global;;Individual;2015;20;Personal reflections;
Permaculture Visions;https://permaculturevisions.com;EN;UK;32.0;Individual;1993;30;Reflective essays;
Gwenfar’s Garden;https://gwenfarsgarden.info;EN;UK;27.0;Individual;2010;20;Personal reflections;
Sara Backmo Blog;https://sarabackmo.com/blog/;EN/SE;Sweden;;Individual;2012;50;Garden & permaculture;
Terra do Milho;https://terradomilho.eu;EN;Portugal;;Individual;2016;25;Farm-based narrative;
Keela Permaculture Farm;https://www.keelayogafarm.com/blog/;EN;Portugal;;Couple/Org;2016;30;Project blog;
Holzer Permaculture;https://seppholzer.at/en/;EN/DE;Austria;;Individual;2000;15;Philosophy + practice;
The Middlewood Trust;https://www.middlewood.org.uk non trova;EN;UK;;Organization;1990;20;Community blog;
Permaculture Magazine;https://www.permaculture.co.uk/articles/;EN;UK;;Publisher;1990;100;Magazine blog;
European Permaculture Network ;https://permaculture-network.eu/blog;EN;Europe;;Org/Collective;2000;50;Design tools + stories;
Social Landscape;https://www.sociallandscapes.co.uk/blog;EN;Europe;;Individual;2010;35;Teaching blog;
